what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422373665682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422373699499
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422373723240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422373828682
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422373833392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422373834430
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422374052294
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1422374061264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422374062233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422374255342
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422374305887
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422374559735
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422374574916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422374884868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422374885353
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422374886085
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422374886490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422374928879
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422375383331
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422375447618
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422376075322
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422376075792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422376580654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422376580682
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422376584444
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1422376585572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1422376589563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422376592378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422376621665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422376622479
