what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894666676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422894673688
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894675843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894713649
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894722439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894742074
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894768530
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894769480
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894769980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894770702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894771236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894772413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422894813840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422894823674
executed,command,,,"AUTOGEN:::org.eclipse.wst.jsdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.wst.jsdt.internal.ui.javaeditor.JavaSelectRulerAction",1422894830409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422894848568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894863346
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894952950
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894953278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422894954051
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422894967255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422894973108
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422894979074
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895052201
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895069164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895070380
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895073731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895075662
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895077225
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895078397
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895085553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895086707
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895101872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895104012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895116803
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422895118118
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422895119197
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422895126829
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1422895148047
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422895153237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422895180740
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422895183383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895205333
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895206038
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895209168
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895210204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895212858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422895222951
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422895224917
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422895229097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1422895243767
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422895250611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422895250830
